id	latitude	longitude
0	40.64749	-73.97237
1	40.75362	-73.98377
2	40.80902	-73.9419
3	40.68514	-73.95976
4	40.79851	-73.94399
5	40.74767	-73.975
6	40.68688	-73.95596
7	40.76489	-73.98493
8	40.80178	-73.96723
9	40.71344	-73.99037
10	40.80316	-73.96545
11	40.76076	-73.98867
12	40.66829	-73.98779
13	40.79826	-73.96113
14	40.7353	-74.00525
15	40.70837	-73.95352
16	40.69169	-73.97185
17	40.74192	-73.99501
18	40.67592	-73.94694
19	40.79685	-73.94872
20	40.71842	-73.95718
21	40.68069	-73.97706
22	40.67989	-73.97798
23	40.68001	-73.97865
24	40.68371	-73.94028
25	40.65599	-73.97519
26	40.86754	-73.92639
27	40.76715	-73.98533
28	40.86482	-73.92106
29	40.7292	-73.98542
30	40.82245	-73.95104
31	40.81305	-73.95466
32	40.72219	-73.93762
33	40.8213	-73.95318
34	40.6831	-73.95473
35	40.66869	-73.9878
36	40.68876	-73.94312
37	40.70186	-73.92745
38	40.63702	-73.96327
39	40.71401	-73.98917
40	40.7229	-73.98199
41	40.66278	-73.97966
42	40.69673	-73.97584
43	40.79009	-73.97927
44	40.81175	-73.94478
45	40.65944	-73.96238
46	40.74771	-73.9474
47	40.68111	-73.95591
48	40.68554	-73.9409
49	40.69142	-73.97376
50	40.68043	-73.93934
51	40.78635	-73.97008
52	40.7042	-73.9356
53	40.73506	-73.95392
54	40.73961	-73.98074
55	40.70881	-73.9593
56	40.72004	-73.99104
57	40.75531	-73.99293
58	40.72401	-73.93788
59	40.7221	-73.99775
60	40.71185	-73.96204
61	40.74623	-73.9953
62	40.77065	-73.95269
63	40.67811	-73.96428
64	40.69	-73.96788
65	40.75979	-73.99119
66	40.67343	-73.98338
67	40.72649	-73.97904
68	40.70933	-73.96792
69	40.72298	-73.98474
70	40.80164	-73.93922
71	40.72162	-73.98008
72	40.76342	-73.98865
73	40.83139	-73.94095
74	40.68346	-73.96374
75	40.72828	-73.98801
76	40.76865	-73.95058
77	40.75038	-73.90334
78	40.6932	-73.97267
79	40.74138	-74.00197
80	40.71154	-73.96112
81	40.82915	-73.95136
82	40.71851	-73.98892
83	40.65401	-73.96323
84	40.7114	-73.98794
85	40.69723	-73.99268
86	40.71833	-73.95748
87	40.72334	-73.9844
88	40.72912	-73.98057
89	40.71156	-73.96218
90	40.70032	-73.9383
91	40.68233	-73.97261
92	40.68634	-73.966
93	40.68035	-73.97162
94	40.70984	-73.95775
95	40.70093	-73.92609
96	40.79764	-73.96177
97	40.82803	-73.94731
98	40.74008	-74.00271
99	40.68413	-73.92357
100	40.82279	-73.95139
101	40.67967	-74.00154
102	40.83927	-73.94281
103	40.73096	-74.00319
104	40.71332	-73.94177
105	40.66941	-73.98109
106	40.68373	-73.92377
107	40.71459	-73.94844
108	40.8092	-73.94421
109	40.68157	-73.98989
110	40.75527	-73.99291
111	40.68698	-73.96572
112	40.7288	-73.98192
113	40.66853	-73.98912
114	40.7254	-73.98157
115	40.74294	-73.98009
116	40.71942	-73.95748
117	40.77823	-73.97637
118	40.72555	-73.97965
119	40.66831	-73.98604
120	40.82754	-73.94919
121	40.66499	-73.97925
122	40.77842	-73.97556
123	40.72245	-73.98527
124	40.65593	-73.96053
125	40.71923	-73.96468
126	40.778	-73.94822
127	40.85879	-73.93128
128	40.68332	-73.9547
129	40.81618	-73.94894
130	40.68414	-73.96351
131	40.72392	-73.99143
132	40.73494	-73.9503
133	40.71341	-73.98856
134	40.76754	-73.98399
135	40.73442	-74.00303
136	40.63188	-73.93248
137	40.6873	-73.9634
138	40.68296	-73.93662
139	40.6863	-73.96765
140	40.73409	-73.95348
141	40.71561	-73.94835
142	40.6857	-73.99183
143	40.74028	-73.83168
144	40.68281	-73.93524
145	40.71596	-73.93938
146	40.71492	-73.95935
147	40.72354	-73.98295
148	40.71165	-73.96087
149	40.69101	-73.97312
150	40.73474	-74.00101
151	40.67386	-73.96641
152	40.71536	-73.96057
153	40.6741	-73.96595
154	40.79295	-73.93997
155	40.73226	-74.00401
156	40.71363	-73.96398
157	40.77711	-73.9527
158	40.68559	-73.98094
159	40.77456	-73.95323
160	40.71088	-73.95055
161	40.74559	-73.92313
162	40.68306	-73.94659
163	40.70207	-73.98571
164	40.76123	-73.9642
165	40.66858	-73.99083
166	40.82704	-73.94907
167	40.68843	-73.96408
168	40.6783	-74.00135
169	40.64524	-74.08088
170	40.70641	-73.91765
171	40.83232	-73.93184
172	40.71045	-73.9677
173	40.72518	-73.98034
174	40.70666	-74.01374
175	40.69098	-73.97113
176	40.73756	-74.00405
177	40.81526	-73.94791
178	40.73423	-74.0046
179	40.82374	-73.9373
180	40.68863	-73.97691
181	40.70382	-73.89797
182	40.80549	-73.95924
183	40.71627	-73.9587
184	40.67994	-73.97863
185	40.67992	-73.9475
186	40.67868	-73.97307
187	40.76834	-73.95334
188	40.68237	-73.9415
189	40.74031	-73.99999
190	40.76307	-73.99665
191	40.71882	-73.98852
192	40.6693	-73.98804
193	40.77333	-73.95199
194	40.72319	-73.99201
195	40.74859	-73.99671
196	40.67252	-73.76597
197	40.76244	-73.99271
198	40.69546	-73.93503
199	40.71722	-73.87856
200	40.70234	-73.89816
201	40.71546	-73.87854
202	40.7195	-73.95976
203	40.76548	-73.98474
204	40.80234	-73.95603
205	40.6787	-73.97262
206	40.81035	-73.94598
207	40.83075	-73.93058
208	40.79958	-73.94275
209	40.71625	-73.93845
210	40.6829	-73.93549
211	40.72773	-73.99134
212	40.72861	-74.0049
213	40.70979	-73.95162
214	40.68656	-73.97525
215	40.72752	-73.98432
216	40.729	-73.95829
217	40.81219	-73.94499
218	40.77185	-73.90502
219	40.68926	-73.99386
220	40.72821	-73.98701
221	40.7672	-73.98508
222	40.73012	-73.99053
223	40.7403	-73.98498
224	40.80931	-73.94343
225	40.8251	-73.94287
226	40.6585	-73.98397
227	40.76193	-73.9501
228	40.72052	-73.98589
229	40.70411	-73.89934
230	40.73401	-73.95967
231	40.71756	-73.99503
232	40.7589	-73.96991
233	40.72003	-74.00262
234	40.73194	-73.99474
235	40.79163	-73.94573
236	40.8118	-73.94434
237	40.81583	-73.94707
238	40.72654	-73.98049
239	40.80021	-73.96071
240	40.80942	-73.93936
241	40.71961	-73.9954
242	40.74358	-74.00027
243	40.80335	-73.9575
244	40.71445	-73.9908
245	40.75749	-73.96897
246	40.64446	-73.9503
247	40.7268	-73.99079
248	40.688	-73.9171
249	40.63536	-74.08537
250	40.63627	-74.08543
251	40.63518	-74.08546
252	40.72477	-73.98161
253	40.74238	-73.99567
254	40.72945	-73.95511
255	40.70763	-73.95177
256	40.63481	-74.08519
257	40.75384	-73.91433
258	40.64106	-73.97426
259	40.66793	-73.98327
260	40.81309	-73.85514
261	40.88057	-73.83572
262	40.68236	-73.94314
263	40.72185	-73.98246
264	40.68503	-73.95385
265	40.86648	-73.9263
